"id","name","created_at","updated_at","kladr"
30,Сыктывкар,"2019-08-07 21:17:22","2021-10-05 16:09:31","1100000100000"
31,Уфа,"2019-08-07 21:17:22","2021-10-05 16:09:31","0200000100000"
32,Коломна,"2019-08-07 21:17:22","2021-10-05 16:09:31","5000002700000"
33,Подольск,"2019-08-07 21:17:22","2021-10-05 16:09:31","5000002400000"
34,Иркутск,"2019-08-07 21:17:22","2021-10-05 16:09:31","3800000300000"
35,Пенза,"2019-08-07 21:17:22","2021-10-05 16:09:31","5800000100000"
36,Казань,"2019-08-07 21:17:22","2021-10-05 16:09:31","1600000100000"
37,Магнитогорск,"2019-08-07 21:17:22","2021-10-05 16:09:31","7400000900000"
38,Серпухов,"2019-08-07 21:17:22","2021-10-05 16:09:31","5000002800000"
39,Армавир,"2019-08-07 21:17:22","2021-10-05 16:09:31","2300000200000"
40,Кемерово,"2019-08-07 21:17:22","2021-10-05 16:09:31","4200000900000"
41,Петрозаводск,"2019-08-07 21:17:22","2021-10-05 16:09:31","1000000100000"
42,Тула,"2019-08-07 21:17:22","2021-10-05 16:09:31","7100000100000"
43,Великий Новгород,"2019-08-07 21:17:22","2021-10-05 16:09:31","5300000100000"
44,Аксай,"2019-08-07 21:17:22","2019-08-07 21:17:22",""
45,Новая Адыгея,"2019-08-07 21:17:22","2019-08-07 21:17:22",""
46,Федяково с,"2019-08-07 21:17:23","2019-08-07 21:17:23",""
47,Омск,"2019-08-07 21:17:23","2021-10-05 16:09:31","5500000100000"
48,Котельники,"2019-08-07 21:17:23","2019-08-07 21:17:23",""
49,Белгород,"2019-08-07 21:17:23","2021-10-05 16:09:31","3100000100000"
50,Скотное д,"2019-08-07 21:17:23","2019-08-07 21:17:23",""
51,Владимир,"2019-08-07 21:17:23","2021-10-05 16:09:31","3300000100000"
52,Зеленодольск,"2019-08-07 21:17:23","2021-10-05 16:09:31","1602100100000"
53,Сочи,"2019-08-07 21:17:23","2021-10-05 16:09:31","2300000700000"
54,Ейск,"2019-08-07 21:17:23","2021-10-05 16:09:31","2301100100000"
55,Альметьевск,"2019-08-07 21:17:23","2021-10-05 16:09:31","1600800100000"
56,Тольятти,"2019-08-07 21:17:23","2021-10-05 16:09:31","6300000700000"
57,Сакнт-Петербург,"2019-08-07 21:17:23","2019-08-07 21:17:23",""
58,Новокузнецк,"2019-08-07 21:17:23","2021-10-05 16:09:31","4200001200000"
59,Рязань,"2019-08-07 21:17:23","2021-10-05 16:09:31","6200000100000"
60,Пушкино,"2019-08-07 21:17:23","2021-10-05 16:09:31","5000006700000"
61,Реутов,"2019-08-07 21:17:23","2021-10-05 16:09:31","5000001600000"
62,Тамбов,"2019-08-07 21:17:23","2021-10-05 16:09:31","6800000400000"
63,Саранск,"2019-08-07 21:17:23","2021-10-05 16:09:31","1300000100000"
64,Солнечный п,"2019-08-07 21:17:23","2019-08-07 21:17:23",""
65,Саратов,"2019-08-07 21:17:23","2021-10-05 16:09:31","6400000100000"
66,Архангельск,"2019-08-07 21:17:23","2021-10-05 16:09:31","2900000100000"
67,Тверь,"2019-08-07 21:17:23","2021-10-05 16:09:31","6900000100000"
68,Стерлитамак,"2019-08-07 21:17:23","2021-10-05 16:09:31","0200001400000"
69,Ставрополь,"2019-08-07 21:17:23","2021-10-05 16:09:31","2600000100000"
70, Чебоксары,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
71, Пермь,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
72, Якутск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
73, Электросталь,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
74, Магадан,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
75, Южно-Сахалинск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
76, Ижевск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
77, Йошкар-Ола,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
78, Ноябрьск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
79, Вологда,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
80, Атырау.,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
81, ул.Бухар-Жырау,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
82, Октябрьский,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
83, Гатчинский р-н,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
84, Костомукша,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
85, Пятигорск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
86, Ессентуки,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
87, Нальчик,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
88, пр-кт  Аль-Фараби,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
89, Волоколамский р-н,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
90, Майкоп,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
91, Котласский р-н,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
92, Усть-Каменогорск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
93, Тверь,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
94, Чита,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
95, Владикавказ,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
96, Иваново,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
97, Чкалова ул.,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
98, Мурманск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
99, Дзержинск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
100, Хабаровск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
101, Петропавловск-Камчатский,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
102, Ульяновск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
103, Владивосток,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
104, Череповец,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
105, Новороссийск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
106, Балаково,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
107, Нефтекамск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
108, Арзамас,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
109, 4 мкр,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
110, Ковров,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
111, Анапский р-н,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
112, Колпино,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
113, Находка,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
114, Тюмень,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
115, Екатеринбург,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
116, Благовещенск,"2019-11-10 18:26:48","2019-11-10 18:26:48",""
117, Саров,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
118, Старый Оскол,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
119, Братск,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
120, Абакан,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
121, Нижнекамский р-н,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
122, Ваграма Папазяна ул.,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
123, Нур-Султан.,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
124, Геленджик,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
125, Кызыл,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
126, Миасс,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
127, Минск.,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
128, Бобруйская ул.,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
129, Сатпаева ул.,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
130, Уссурийск,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
131, Новокуйбышевск,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
132, Энгельс,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
133, Жуковский,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
134, Воскресенский р-н,"2019-11-10 18:26:49","2019-11-10 18:26:49",""
135,Хабаровск,"2019-11-28 10:13:12","2021-10-05 16:09:31","2700000100000"
136,Уссурийск,"2020-01-30 09:28:16","2021-10-05 16:09:31","2500001100000"
137,Владивосток,"2020-01-30 09:28:35","2021-10-05 16:09:31","2500000100000"
138,Находка,"2020-01-30 09:28:49","2021-10-05 16:09:31","2500000400000"
139,Глазов,"2020-06-29 14:41:31","2020-06-29 14:41:31",""
140,Псков,"2020-11-20 10:55:17","2021-10-05 16:09:31","6000000100000"
141,Нижневартовск,"2020-11-20 10:55:38","2021-10-05 16:09:31","8600001100000"
142,Нижний Тагил,"2020-11-26 10:41:10","2021-10-05 16:09:31","6600002300000"
143,Курган,"2020-11-26 10:41:41","2021-10-05 16:09:31","2301900100000"
144,Пермь,"2021-03-13 11:00:51","2021-10-05 16:09:31","5900000100000"
145,Алматы,"2021-04-06 13:27:48","2021-04-06 13:27:48",""
146,Калининград,"2021-04-09 11:24:05","2021-10-05 16:09:31","3900000100000"
147,Улан-Удэ,"2021-04-15 00:20:37","2021-10-05 16:09:31","0300000100000"
148,Волгодонск,"2021-05-22 00:08:37","2021-10-05 16:09:31","6100000400000"
149,Майкоп,"2021-06-03 13:16:22","2021-10-05 16:09:31","0100000100000"
150,Таганрог,"2021-07-06 00:15:34","2021-10-05 16:09:31","6100001100000"
151,Кингисепп,"2021-07-14 18:19:44","2021-10-05 16:09:31","4700800100000"
152,Клин,"2021-07-15 00:20:55","2021-10-05 16:09:31","5004700000000"
153,Волхов,"2021-07-17 00:34:20","2021-10-05 16:09:31","4700400100000"
154,Ереван,"2021-08-01 00:19:44","2021-08-01 00:19:44",""
155,Иваново,"2021-09-25 00:21:35","2021-09-25 00:21:35",""
156,Сызрань,"2021-10-01 00:53:30","2021-10-01 00:53:30",""
157,Южно-Сахалинск,"2021-10-11 00:26:27","2021-10-11 00:26:27",""
158,Нижнекамск,"2021-10-25 12:39:46","2021-10-25 12:39:46",""
159,Ухта,"2021-12-30 00:13:04","2021-12-30 00:13:04",""
160,Новочеркасск,"2022-03-14 08:46:49","2022-03-14 08:46:49",""
161,Новый Уренгой,"2022-04-20 00:01:18","2022-04-20 00:01:18",""
162,Бийск,"2022-06-29 13:33:08","2022-06-29 13:33:08",""
163,Минск,"2022-07-02 00:42:17","2022-07-02 00:42:17",""
164,Гродно,"2022-07-02 00:42:17","2022-07-02 00:42:17",""
165,Орёл,,,"5700000100000"
